127.0.0.1, 2018-04-10 15:47:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.003962
127.0.0.1, 2018-04-10 15:47:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.017447
127.0.0.1, 2018-04-10 15:47:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.287571
127.0.0.1, 2018-04-10 15:47:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.339561
127.0.0.1, 2018-04-10 15:47:12, GET, /start/appadmin/hooks, HTTP/1.1, 200, 2.817497
127.0.0.1, 2018-04-10 15:47:18, GET, /admin/default/design/start, HTTP/1.1, 200, 0.097997
127.0.0.1, 2018-04-10 15:47:24, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.018883
127.0.0.1, 2018-04-10 15:47:24, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.011926
127.0.0.1, 2018-04-10 15:47:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.005343
127.0.0.1, 2018-04-10 15:47:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.034064
127.0.0.1, 2018-04-10 15:47:25, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.300297
127.0.0.1, 2018-04-10 15:47:25, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.348236
127.0.0.1, 2018-04-10 15:47:27, GET, /start/appadmin/hooks, HTTP/1.1, 200, 2.742365
127.0.0.1, 2018-04-10 15:48:14, GET, /admin/default/design/start, HTTP/1.1, 200, 0.594257
127.0.0.1, 2018-04-10 15:48:40, GET, /admin/default/search/start, HTTP/1.1, 200, 0.037934
127.0.0.1, 2018-04-10 15:48:45, GET, /admin/default/peek/start/controllers/default.py, HTTP/1.1, 200, 0.031218
127.0.0.1, 2018-04-10 15:48:49, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.017657
127.0.0.1, 2018-04-10 15:48:49, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.012811
127.0.0.1, 2018-04-10 15:48:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.005015
127.0.0.1, 2018-04-10 15:48:49, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.022078
127.0.0.1, 2018-04-10 15:48:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.282983
127.0.0.1, 2018-04-10 15:48:50, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.732131
127.0.0.1, 2018-04-10 15:48:52, GET, /start/appadmin/hooks, HTTP/1.1, 200, 3.101575
127.0.0.1, 2018-04-10 15:49:00, POST, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.015941
127.0.0.1, 2018-04-10 15:49:05, GET, /admin/default/site, HTTP/1.1, 200, 0.034573
127.0.0.1, 2018-04-10 15:49:08, GET, /start/default/index, HTTP/1.1, 200, 0.227887
127.0.0.1, 2018-04-10 15:49:16, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.079643
127.0.0.1, 2018-04-10 15:49:16, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.094951
127.0.0.1, 2018-04-10 15:49:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.172263
127.0.0.1, 2018-04-10 15:49:17, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.504746
127.0.0.1, 2018-04-10 15:49:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.585489
127.0.0.1, 2018-04-10 15:49:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.580067
127.0.0.1, 2018-04-10 15:49:19, GET, /start/appadmin/hooks, HTTP/1.1, 200, 2.799609
127.0.0.1, 2018-04-10 15:49:34, GET, /admin/default/design/start, HTTP/1.1, 200, 0.622588
127.0.0.1, 2018-04-10 15:49:37, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.083859
127.0.0.1, 2018-04-10 15:49:37, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.109337
127.0.0.1, 2018-04-10 15:49:37, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.130374
